*Paper link,Source name,*J2000 Right ascension,*J2000 Declination
http://adsabs.harvard.edu/abs/2015ApJ...803L..16L,PSO J334.2028+01.4075,"J334.2028+01.4075 (J2000)
?","J334.2028+01.4075 (J2000)
?"
https://arxiv.org/pdf/1709.06258.pdf,NGC 7674,"C1: 23h 27m 56.70060s
C2: 23h 27m 56.70055s","C1: 08° 46' 44"".21208
C2: 08° 46' 44"".21213"
http://adsabs.harvard.edu/abs/2006ApJ...646...49R,4C +37.11,04h 05m 49:2623,"38° 03' 32"".235"
"http://adsabs.harvard.edu/abs/2017MNRAS.465.4772R
",2MASX J12032061+1319316,,
http://adsabs.harvard.edu/abs/2009Natur.458...53B, J153636.22+044127.0,,
http://iopscience.iop.org/article/10.3847/0004-637X/827/1/56/pdf,SDSS J015910.058+010514.53,,
http://iopscience.iop.org/article/10.3847/0004-637X/822/1/4/pdf,NGC 5548,,
http://iopscience.iop.org/article/10.1088/0004-637X/759/2/118/pdf,NGC 4151,,
http://adsabs.harvard.edu/abs/2015MNRAS.454L..21C,PG1302-102,,
http://adsabs.harvard.edu/abs/2017MNRAS.471.1873Y,PKS 1155+251,,
http://adsabs.harvard.edu/abs/2014ApJ...786..103L,SDSS J120136.02+300305.5,,
http://iopscience.iop.org/article/10.1086/383020/pdf,3C 66B,,
http://articles.adsabs.harvard.edu/cgi-bin/nph-iarticle_query?1988ApJ...325..628S&amp;data_type=PDF_HIGH&amp;whole_paper=YES&amp;type=PRINTER&amp;filetype=.pdf,OJ 287,,
https://arxiv.org/pdf/1705.07781.pdf,Ark 120,,
https://arxiv.org/pdf/1512.01219.pdf,Mrk 421,,
http://adsabs.harvard.edu/abs/2014ApJ...792L...8W,J150243.09+111557.3,,
http://adsabs.harvard.edu/abs/2018A%26A...621A..11Q,3C279,,
https://arxiv.org/abs/1210.2286,VRO 42.22.01,,
https://arxiv.org/pdf/2101.07932.pdf and https://ui.adsabs.harvard.edu/abs/2018ApJ...863..149P/abstract,SDSS J043703.67+245606.8,,
,NGC 6264,,
,Mrk 501,,
http://tevcat.uchicago.edu/?mode=1&showsrc=102 and https://arxiv.org/abs/1801.03335 ,PG1553+113,,
,3C 75,,
https://ui.adsabs.harvard.edu/abs/2013ApJ...777...44J/abstract,SDSS J032223.02+000803.5 ,,
same as above,SDSS J002444.11-003221.4,,
same as above,SDSS J095656.42+535023.2,,
same as above,SDSS J161609.50+434146.8,,
same as above,SDSS J075700.70+424814.5,,
same as above,SDSS J093502.54+433110.7,,
same as above,SDSS J004918.98+002609.4,,
https://ui.adsabs.harvard.edu/abs/2013ApJ...779...41T/abstract,WISE J233237.05-505643.5,23h 32m 37.05s,"-50° 56' 43"".5"
https://ui.adsabs.harvard.edu/abs/2022arXiv220111633J/abstract,SDSS J143016.05+230344.4,14h 30m 16.05s,"23° 03' 44"".4"
https://iopscience.iop.org/article/10.3847/2041-8213/ac504b/pdf,PKS 2131-021,,
